#,TICKER,COMPANY_NAME,MARKET_CAP,CLOSE,PREVIOUS_CLOSE,VOLUME,WK52_LOW,WK52_HIGH,ALL_TIME_HIGH,IPO_DATE,EARNINGS_DATE,SECTOR,INDUSTRY,EXCHANGE
2108,TGLS,Tecnoglass Inc.,1911679872,43.09,44.21,235717,37.52,90.34,90.34,1336656600.0,1778157000,Basic Materials,Building Materials,NYQ
2109,ANIP,"ANI Pharmaceuticals, Inc.",1784894848,78.51,81.11,415708,58.7,99.5,450.0,957533400.0,1778243400,Healthcare,Drug Manufacturers - Specialty & Generic,NGM
2110,LC,LendingClub Corporation,2059014144,17.85,17.03,2230723,9.78,21.67,146.45,1418308200.0,1777320000,Financial Services,Banks - Regional,NYQ
2111,ALG,Alamo Group Inc.,1833891072,150.71,152.48,110434,145.76,233.29,233.29,732551400.0,1777924800,Industrials,Farm & Heavy Construction Machinery,NYQ
2112,TY,Tri-Continental Corporation,1876476800,35.25,35.18,17493,30.4,35.5,35.91,322151400.0,0,Financial Services,Asset Management,NYQ
2113,CHA,Chagee Holdings Limited,2434140160,12.76,10.16,3860705,8.98,35.42,41.8,1744896600.0,1779998400,Consumer Cyclical,Restaurants,NMS
2114,BWIN,"The Baldwin Insurance Group, Inc.",1893254912,19.42,19.86,1917361,15.88,45.16,55.82,1571923800.0,1777924800,Financial Services,Insurance Brokers,NMS
2115,CTS,CTS Corporation,1835950720,64.21,64.79,160424,36.03,65.99,86.25,322151400.0,1777465800,Technology,Electronic Components,NYQ
2116,EVCM,EverCommerce Inc.,1990695424,11.25,11.09,139402,7.66,14.41,23.41,1625146200.0,1778184000,Technology,Software - Application,NMS
2117,NAC,Nuveen California Quality Municipal Income Fund,1894679680,12.12,11.99,638789,10.84,12.25,17.2,927725400.0,0,Financial Services,Asset Management,NYQ
2118,LWLG,"Lightwave Logic, Inc.",1673304704,10.86,11.46,7536430,0.93,18.71,20.3,1147786200.0,1778702400,Basic Materials,Specialty Chemicals,NCM
2119,PLPC,Preformed Line Products Company,1807684608,369.82,376.98,76435,138.84,386.9,386.9,925306200.0,1772658000,Industrials,Electrical Equipment & Parts,NMS
2120,PDO,Pimco Dynamic Income Opportunities Fund,1873685120,13.15,13.0,489176,12.37,14.25,23.24,1612189800.0,0,Financial Services,Asset Management,NYQ
2121,ARCO,Arcos Dorados Holdings Inc.,1832768512,8.7,8.87,637087,6.51,9.75,29.43,1302787800.0,1779280200,Consumer Cyclical,Restaurants,NYQ
2122,SKYT,"SkyWater Technology, Inc.",1917995264,38.98,38.97,758240,8.18,39.285,39.285,1619011800.0,0,Technology,Semiconductors,NCM
2123,TH,Target Hospitality Corp.,1728803712,17.36,17.22,2254857,5.97,18.93,18.93,1520861400.0,1778502600,Industrials,Specialty Business Services,NCM
2124,EPAC,Enerpac Tool Group Corp.,1767478528,33.49,33.81,348040,32.71,45.54,51.91,964445400.0,1774468800,Industrials,Specialty Industrial Machinery,NYQ
2125,LIFE,Ethos Technologies Inc.,1796889600,18.9,19.58,384006,9.45,32.5,32.5,1769697000.0,1778097600,Financial Services,Insurance Brokers,NMS
2126,HLIT,Harmonic Inc.,1639380992,15.11,17.0,9994221,7.8,17.68,157.5,801235800.0,1778529600,Technology,Communication Equipment,NMS
2127,IOVA,"Iovance Biotherapeutics, Inc.",1830659840,4.1,4.3,17176998,1.66,5.63,165.0,1287149400.0,1778157000,Healthcare,Biotechnology,NGM
2128,BKSY,BlackSky Technology Inc.,1798674432,48.47,51.63,2482151,10.61,52.88,139.76,1576852200.0,1778157000,Industrials,Specialty Business Services,NYQ
2129,SPB,"Spectrum Brands Holdings, Inc.",1825159424,78.69,78.46,239172,49.99,86.96,1528.7423,284135400.0,1778157000,Consumer Defensive,Household & Personal Products,NYQ
2130,LKFT,Lakefront Biotherapeutics NV,1868182016,28.35,28.32,117359,26.42,37.78,274.03,1330353000.0,0,Healthcare,Biotechnology,NMS
2131,SHLS,"Shoals Technologies Group, Inc.",2088759168,12.45,12.2,5764850,3.99,13.18,44.04,1611844200.0,1777984200,Technology,Solar,NGM
2132,OCUL,"Ocular Therapeutix, Inc.",1972832768,9.01,9.15,2264413,6.23,16.44,44.19,1406295000.0,1777984200,Healthcare,Biotechnology,NGM
2133,VET,Vermilion Energy Inc.,1705116032,11.13,11.38,1937625,6.64,14.82,72.69,1284471000.0,1778070600,Energy,Oil & Gas E&P,NYQ
2134,AIN,Albany International Corp.,1834282752,64.69,64.66,77434,41.15,73.0,115.39,560007000.0,1777552200,Consumer Cyclical,Textile Manufacturing,NYQ
2135,OCS,Oculis Holding AG,1371111168,22.705,29.65,1519891,16.0,34.475,34.475,1621344600.0,1786046400,Healthcare,Biotechnology,NGM
2136,BLDP,Ballard Power Systems Inc.,1896283008,6.29,6.19,13673985,1.24,6.43,144.9375,815841000.0,1777984200,Industrials,Electrical Equipment & Parts,NGM
2137,DXYZ,Destiny Tech100 Inc.,1599447296,52.5,54.11,4388461,19.711,72.87,105.0,1711459800.0,0,Financial Services,Asset Management,NYQ
2138,AGRO,Adecoagro S.A.,1750461696,12.13,12.63,1016468,6.89,15.89,15.89,1296225000.0,1786478400,Consumer Defensive,Farm Products,NYQ
2139,PWP,Perella Weinberg Partners,1631531136,17.16,17.53,2116752,15.74,25.925,27.03,1606228200.0,1777638600,Financial Services,Capital Markets,NMS
2140,XPRO,Expro Group Holdings N.V.,1674848384,14.77,14.81,550447,8.06,18.73,196.2,1376055000.0,1777984200,Energy,Oil & Gas Equipment & Services,NYQ
2141,PAX,Patria Investments Limited,1848931456,11.59,11.43,1801324,10.721,17.8,23.28,1611325800.0,1778157000,Financial Services,Asset Management,NMS
2142,ALKT,"Alkami Technology, Inc.",1944538496,18.17,17.59,1615023,14.11,31.18,49.32,1618407000.0,1777492800,Technology,Software - Application,NMS
2143,PLSE,"Pulse Biosciences, Inc.",1730242816,25.0,24.74,250743,12.56,27.98,45.82,1463578200.0,1777897800,Healthcare,Medical Instruments & Supplies,NCM
2144,RQI,"Cohen & Steers Quality Income Realty Fund, Inc.",1793315456,13.34,13.38,437004,11.3,13.57,27.15,1014733800.0,0,Financial Services,Asset Management,NYQ
2145,NRIX,"Nurix Therapeutics, Inc.",1836487296,17.76,17.67,1089545,8.195,22.5,52.38,1595597400.0,1775651400,Healthcare,Biotechnology,NGM
2146,AMBQ,"Ambiq Micro, Inc.",1702792704,79.66,82.97,530526,22.12,85.72,85.72,1753882200.0,1778589000,Technology,Semiconductors,NYQ
2147,WLTH,Wealthfront Corporation,1826919552,12.22,11.94,1476865,7.2,14.75,14.75,1765809000.0,1780603200,Technology,Software - Application,NMS
2148,SRCE,1st Source Corporation,1776765568,73.82,73.56,84408,56.89,76.44,76.44,429543000.0,1776947400,Financial Services,Banks - Regional,NMS
2149,VCEL,Vericel Corporation,1702104192,33.33,34.24,421615,28.95,45.97,1590.0,855066600.0,1778157000,Healthcare,Biotechnology,NGM
2150,SID,Companhia Siderúrgica Nacional,1795174656,1.35,1.36,1650981,1.11,2.2,26.23,848327400.0,1778702400,Basic Materials,Steel,NYQ
2151,WMK,"Weis Markets, Inc.",1805613184,72.97,74.29,73811,59.99,79.05,95.57,322151400.0,1778070600,Consumer Defensive,Grocery Stores,NYQ
2152,SNDA,"Sonida Senior Living, Inc.",1673690112,35.35,36.07,408218,23.66,39.66,418.5,878308200.0,1778502600,Healthcare,Medical Care Facilities,NYQ
2153,ADNT,Adient plc,1792530048,22.86,23.74,604064,14.89,27.32,86.42,1476711000.0,1778070600,Consumer Cyclical,Auto Parts,NYQ
2154,COTY,Coty Inc.,1875393664,2.13,2.23,6947322,1.89,5.34,32.72,1371130200.0,1778011200,Consumer Defensive,Household & Personal Products,NYQ
2155,UFPT,"UFP Technologies, Inc.",1702900352,220.1,227.99,172007,173.86,274.93,366.41,756138600.0,1777924800,Healthcare,Medical Devices,NCM
2156,MD,"Pediatrix Medical Group, Inc.",1768906112,21.54,21.61,562396,11.84,24.99,86.09,811603800.0,1777984200,Healthcare,Medical Care Facilities,NYQ
2157,CASH,"Pathward Financial, Inc.",1736089088,82.24,82.38,116948,65.87,101.26,101.26,748531800.0,1776888000,Financial Services,Banks - Regional,NMS
2158,STRA,"Strategic Education, Inc.",1744557568,76.75,77.2,228978,69.7,93.45,262.44,838301400.0,1776947400,Consumer Defensive,Education & Training Services,NMS
2159,CHCO,City Holding Company,1754158976,124.31,124.6,119057,113.21,133.59,137.28,551712600.0,1776947400,Financial Services,Banks - Regional,NMS
2160,SNDX,"Syndax Pharmaceuticals, Inc.",1735870336,19.59,19.75,804671,8.585,25.59,29.86,1456929000.0,1777579200,Healthcare,Biotechnology,NMS
2161,AEVA,"Aeva Technologies, Inc.",1776490368,28.18,25.84,2277457,8.83,38.8,109.175,1582813800.0,1778097600,Technology,Software - Infrastructure,NMS
2162,PRKS,United Parks & Resorts Inc.,1891548800,40.13,39.11,707902,28.77,56.95,76.57,1366378200.0,1778502600,Consumer Cyclical,Leisure,NYQ
2163,NTLA,"Intellia Therapeutics, Inc.",1965892352,14.07,13.68,5530996,6.918,28.25,202.73,1462541400.0,1778502600,Healthcare,Biotechnology,NGM
2164,SRPT,"Sarepta Therapeutics, Inc.",1886647168,17.87,17.3,3101603,10.42,43.92,181.83,865431000.0,1778097600,Healthcare,Biotechnology,NMS
2165,PRLB,"Proto Labs, Inc.",1802636800,75.76,74.73,125023,36.15,76.4,286.57,1330093800.0,1777638600,Industrials,Metal Fabrication,NYQ
2166,SGRY,"Surgery Partners, Inc.",1747329792,13.36,13.65,1184261,11.41,24.1,69.58,1443619800.0,1777984200,Healthcare,Medical Care Facilities,NMS
2167,USA,Liberty All-Star Equity Fund,1761061504,5.84,5.82,1126293,5.4,6.96,14.75,530544600.0,0,Financial Services,Asset Management,NYQ
2168,ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,1780589952,23.33,23.24,107303,19.34,23.67,29.47,1075386600.0,0,Financial Services,Asset Management,NYQ
2169,GAB,The Gabelli Equity Trust Inc.,1745813504,5.61,5.63,1016679,5.28,6.306931,12.101322,524410200.0,0,Financial Services,Asset Management,NYQ
2170,LOB,"Live Oak Bancshares, Inc.",1759358720,38.03,37.62,118933,26.77,42.89,99.89,1437658200.0,1776888000,Financial Services,Banks - Regional,NYQ
2171,ECPG,"Encore Capital Group, Inc.",1713732096,79.93,80.295,236005,35.67,92.64,92.64,931527000.0,1778097600,Financial Services,Credit Services,NMS
2172,LAC,Lithium Americas Corp.,1829035392,5.21,5.15,10229854,2.47,10.52,12.38,1696253400.0,1778761800,Basic Materials,Other Industrial Metals & Mining,NYQ
2173,ADUS,Addus HomeCare Corporation,1711186688,91.68,93.53,153733,89.76,124.44,136.72,1256736600.0,1777924800,Healthcare,Medical Care Facilities,NMS
2174,FIVN,"Five9, Inc.",1864333056,24.35,22.83,4446866,13.29,30.38,211.68,1396618200.0,1777579200,Technology,Software - Infrastructure,NGM
2175,HRMY,"Harmony Biosciences Holdings, Inc.",1828829696,31.59,31.49,691580,25.52,40.87,62.085,1597843800.0,1778157000,Healthcare,Biotechnology,NGM
2176,AIP,"Arteris, Inc.",1659882880,35.95,36.92,1274309,7.56,38.47,38.47,1635341400.0,1778616000,Technology,Semiconductors,NGM
2177,AAT,"American Assets Trust, Inc.",1807438592,23.3,23.37,293873,17.72,23.66,49.26,1294929000.0,1777406400,Real Estate,REIT - Diversified,NYQ
2178,GT,The Goodyear Tire & Rubber Company,1753375616,6.1,6.2,6426419,5.43,12.03,76.75,-252322200.0,1778097600,Consumer Cyclical,Auto Parts,NMS
2179,TPB,"Turning Point Brands, Inc.",1644884608,84.93,88.35,177579,65.8,146.9,146.9,1462973400.0,1778157000,Consumer Defensive,Tobacco,NYQ
2180,CRML,Critical Metals Corp.,1643359104,11.2,11.61,7731864,1.32,32.15,32.15,1644244200.0,0,Basic Materials,Other Industrial Metals & Mining,NGM
2181,NVAX,"Novavax, Inc.",1803886080,10.97,10.32,6613243,6.13,11.97,331.68,818173800.0,1778070600,Healthcare,Biotechnology,NMS
2182,WD,"Walker & Dunlop, Inc.",1723084928,50.19,50.81,227889,42.12,90.0,156.77,1292423400.0,1778157000,Financial Services,Mortgage Finance,NYQ
2183,SMA,"SmartStop Self Storage REIT, Inc.",1730165504,31.25,31.3941,1184882,29.41,39.77,39.77,1743600600.0,1778097600,Real Estate,REIT - Industrial,NYQ
2184,PEB,Pebblebrook Hotel Trust,1728880768,15.25,15.55,1293907,8.8,15.73,50.17,1260369000.0,1777406400,Real Estate,REIT - Hotel & Motel,NYQ
2185,FLNG,FLEX LNG Ltd.,1610330112,29.77,30.0,691367,21.72,33.4,38.243,1560778200.0,1778675400,Energy,Oil & Gas Midstream,NYQ
2186,STEW,"SRH Total Return Fund, Inc.",1675188992,17.37,17.5,71691,16.55,18.67,18.67,322151400.0,0,Financial Services,Asset Management,NYQ
2187,ETV,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,1739643008,14.9,14.8,253913,13.13,14.92,20.83,1119965400.0,0,Financial Services,Asset Management,NYQ
2188,GENB,"Generate Biomedicines, Inc.",1681885312,13.12,13.09,411026,11.0,16.75,16.75,1772202600.0,1778157000,Healthcare,Biotechnology,NMS
2189,ESRT,"Empire State Realty Trust, Inc.",1754207488,5.73,5.73,1801925,4.87,8.76,22.31,1380720600.0,1777492800,Real Estate,REIT - Diversified,NYQ
2190,EFC,Ellington Financial Inc.,1701591424,13.57,13.46,1230399,11.28,14.12,26.99,1286544600.0,1778011200,Real Estate,REIT - Mortgage,NYQ
2191,SGML,Sigma Lithium Corporation,1868227968,16.77,15.86,3844227,4.25,24.48,43.18,1530624600.0,1778848200,Basic Materials,Other Industrial Metals & Mining,NCM
2192,TILE,"Interface, Inc.",1718463360,29.6,29.9,677345,19.66,35.11,35.11,419178600.0,1778243400,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NMS
2193,BRUN,"Boost Run, Inc.",2091646208,34.05,32.91,2963853,10.135,39.68,39.68,1735569000.0,0,Technology,Software - Infrastructure,NGM
2194,CAPR,"Capricor Therapeutics, Inc.",1735040256,29.96,29.11,840913,4.3,40.37,3500.0,1171377000.0,1778616000,Healthcare,Biotechnology,NMS
2195,BL,"BlackLine, Inc.",1724630912,29.4,27.11,1977943,24.7,59.57,154.61,1477661400.0,1778011200,Technology,Software - Application,NMS
2196,XHR,"Xenia Hotels & Resorts, Inc.",1697918336,17.37,17.55,422635,11.75,17.75,25.9,1423060200.0,1777638600,Real Estate,REIT - Hotel & Motel,NYQ
2197,AGIO,"Agios Pharmaceuticals, Inc.",1748465280,29.4,30.42,1291311,22.24,46.0,138.85,1374672600.0,1777465800,Healthcare,Biotechnology,NMS
2198,PVLA,"Palvella Therapeutics, Inc.",1699053312,118.46,115.86,143517,20.2,151.18,780.0,1420209000.0,1778157000,Healthcare,Biotechnology,NGM
2199,HURN,Huron Consulting Group Inc.,1740988288,107.39,106.95,200183,100.1,186.78,186.78,1097674200.0,1778011200,Industrials,Consulting Services,NMS
2200,KOS,Kosmos Energy Ltd.,1660929920,2.8,2.74,8177267,0.84,3.34,19.7,1305120600.0,1777984200,Energy,Oil & Gas E&P,NYQ
2201,CNXN,"PC Connection, Inc.",1755480576,69.59,67.95,116661,54.97,70.01,77.19,888935400.0,1777492800,Technology,Electronics & Computer Distribution,NMS
2202,CBZ,"CBIZ, Inc.",1781137920,33.2,32.32,691477,24.29,77.91,90.13,798989400.0,1777492800,Industrials,Specialty Business Services,NYQ
2203,INVA,"Innoviva, Inc.",1580983424,21.42,21.89,1163873,16.52,25.15,34.617245,1096983000.0,0,Healthcare,Biotechnology,NMS
2204,FSUN,FirstSun Capital Bancorp,1656816256,35.45,35.45,102336,29.95,42.34,45.32,1659533400.0,1777320000,Financial Services,Banks - Regional,NMS
2205,SILA,"Sila Realty Trust, Inc.",1670490752,30.24,30.24,406137,21.94,30.63,30.63,1718285400.0,0,Real Estate,REIT - Healthcare Facilities,NYQ
2206,ANAB,"AnaptysBio, Inc.",1620047104,55.67,57.02,493832,11.404,72.36,89.333336,1485441000.0,1778616000,Healthcare,Biotechnology,NMS
2207,CMPS,COMPASS Pathways plc,1762438016,13.06,11.92,4521819,2.25,13.1,61.69,1600435800.0,1778675400,Healthcare,Medical Care Facilities,NMS
2208,BST,BlackRock Science and Technology Trust,1719682560,49.53,49.25,148331,34.865,50.56,61.422924,1414589400.0,0,Financial Services,Asset Management,NYQ
2209,IMKTA,"Ingles Markets, Incorporated",1680242432,88.46,89.26,89215,59.27,95.62,102.99,559315800.0,1778157000,Consumer Defensive,Grocery Stores,NMS
2210,STAA,STAAR Surgical Company,1488178176,29.89,29.08,1093694,15.59,35.87,163.08,698941800.0,1778702400,Healthcare,Medical Instruments & Supplies,NGM
2211,GLOB,Globant S.A.,1742726912,40.36,39.93,1605544,32.5,105.43,354.62,1405690200.0,1778788800,Technology,Information Technology Services,NYQ
2212,SLSR,Solaris Resources Inc.,1703760256,10.2,10.29,124709,4.25,11.48,13.41,1597325400.0,0,Basic Materials,Other Precious Metals & Mining,ASE
2213,APC,ARKO Petroleum Corp.,1570485760,19.02,19.12,72679,17.0,21.72,21.72,1770906600.0,1778502600,Energy,Oil & Gas Refining & Marketing,NCM
2214,PAYO,Payoneer Global Inc.,1740848896,5.2,5.1,4007789,4.08,7.665,14.5,1602855000.0,1778157000,Technology,Software - Infrastructure,NGM
2215,NCNO,"nCino, Inc.",1761611520,16.08,15.85,5789199,13.8,33.92,103.95,1594733400.0,1779912000,Technology,Software - Application,NMS
2216,DCOM,"Dime Community Bancshares, Inc.",1650726784,37.42,37.22,155186,24.99,38.0,38.95,916151400.0,1776947400,Financial Services,Banks - Regional,NYQ
2217,BORR,Borr Drilling Limited,1546520576,5.01,5.07,8195718,1.66,6.655,20.24,1564493400.0,1779307200,Energy,Oil & Gas Drilling,NYQ
2218,TFIN,"Triumph Financial, Inc.",1696195456,71.25,70.55,184750,46.43,77.84,136.015,1415370600.0,1776801600,Financial Services,Banks - Regional,NYQ
2219,HTZ,"Hertz Global Holdings, Inc.",1705128448,5.4,5.49,4598403,3.775,8.44,46.0,1625146200.0,1778157000,Industrials,Rental & Leasing Services,NMS
2220,FLO,"Flowers Foods, Inc.",1619628288,7.64,7.7,4743628,6.8,16.95,30.16,322151400.0,1779393600,Consumer Defensive,Packaged Foods,NYQ
2221,TCBK,TriCo Bancshares,1633252096,50.8,50.28,171681,36.32,53.18,58.62,735312600.0,1776947400,Financial Services,Banks - Regional,NMS
2222,GLP,Global Partners LP,1608206464,47.34,48.1,57974,39.58,56.51,60.0,1128000600.0,1778243400,Energy,Oil & Gas Midstream,NYQ
2223,ZD,"Ziff Davis, Inc.",1660171520,45.07,45.07,686883,22.45,50.55,135.0,932736600.0,1778184000,Communication Services,Advertising Agencies,NMS
2224,GABC,"German American Bancorp, Inc.",1642311936,43.72,43.41,87901,36.55,45.0,51.11,737991000.0,1777320000,Financial Services,Banks - Regional,NMS
2225,IIPR,"Innovative Industrial Properties, Inc.",1668631552,57.99,58.0,276945,44.58,61.395,288.016,1480602600.0,1777924800,Real Estate,REIT - Industrial,NYQ
2226,VPG,"Vishay Precision Group, Inc.",1666748288,125.31,125.25,483121,24.89,131.68,131.68,1277299800.0,1778589000,Technology,Scientific & Technical Instruments,NYQ
2227,NVRI,Enviri Corporation,1716141184,20.75,21.22,5697800,7.7,21.42,66.51,322151400.0,1778529600,Industrials,Waste Management,NYQ
2228,STGW,Stagwell Inc.,1737456640,7.01,7.01,2150959,4.03,7.52,28.65,798125400.0,1777552200,Communication Services,Advertising Agencies,NMS
2229,WBTN,WEBTOON Entertainment Inc.,1662034944,12.29,11.98,381574,8.165,22.47,25.66,1719495000.0,1778529600,Communication Services,Internet Content & Information,NMS
2230,TSLX,"Sixth Street Specialty Lending, Inc.",1637187712,17.23,17.35,597930,16.96,25.17,25.17,1395408600.0,1778011200,Financial Services,Asset Management,NYQ
2231,BCAT,BlackRock Capital Allocation Term Trust,1668022400,15.92,15.82,717775,13.73,15.98,24.0,1601040600.0,0,Financial Services,Asset Management,NYQ
2232,ELVR,Elevra Lithium Limited,1678770432,92.64,88.77,52252,15.545,101.5,101.5,1756819800.0,0,Basic Materials,Other Industrial Metals & Mining,NCM
2233,ABCL,AbCellera Biologics Inc.,1884166144,6.17,5.73,9246968,2.02,6.515,71.91,1607697000.0,1778529600,Healthcare,Biotechnology,NMS
2234,STBA,"S&T Bancorp, Inc.",1622197888,45.09,44.92,197672,34.01,45.54,47.77,703863000.0,1776947400,Financial Services,Banks - Regional,NMS
2235,KMPR,Kemper Corporation,1452427264,24.67,25.44,1135344,24.4,65.32,91.98,640877400.0,1778097600,Financial Services,Insurance - Property & Casualty,NYQ
2236,NUVB,Nuvation Bio Inc.,1664405504,4.78,4.75,4197317,1.57,9.75,15.23,1598448600.0,1777924800,Healthcare,Biotechnology,NYQ
2237,MQ,"Marqeta, Inc.",1721563008,4.06,3.94,5561893,3.7,7.04,37.9,1623245400.0,1778011200,Technology,Software - Infrastructure,NMS
